[227878][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18082298338413239, 'lighthouse.angle1y_3': -0.2677784562110901} 
[227888][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18082284927368164, 'lighthouse.angle1y_3': -0.2678259611129761} 
[227898][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18082284927368164, 'lighthouse.angle1y_3': -0.2678259611129761} 
[227908][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[227918][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[227928][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[227938][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[227948][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18084895610809326, 'lighthouse.angle1y_3': -0.26782703399658203} 
[227958][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18084895610809326, 'lighthouse.angle1y_3': -0.26782703399658203} 
[227968][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18084920942783356, 'lighthouse.angle1y_3': -0.2677793502807617} 
[227978][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18084920942783356, 'lighthouse.angle1y_3': -0.2677793502807617} 
[227988][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[227998][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[228008][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18086875975131989, 'lighthouse.angle1y_3': -0.26779210567474365} 
[228018][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18086875975131989, 'lighthouse.angle1y_3': -0.26779210567474365} 
[228028][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18085558712482452, 'lighthouse.angle1y_3': -0.2678394615650177} 
[228038][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18085558712482452, 'lighthouse.angle1y_3': -0.2678394615650177} 
[228048][lighthouse3]: {'lighthouse.angle0x_3': 0.0291847363114357, 'lighthouse.angle0y_3': -0.19635912775993347, 'lighthouse.angle1x_3': -0.18088194727897644, 'lighthouse.angle1y_3': -0.26779288053512573} 
